(メタ)	(Meth)
(全4頁)	(Total 4 pages [in the original Japanese text])
(未)請求	(not yet) requested
1つ1つ	one by one
1つ以上	1 or more
1つ以上	at least 1
1つ前の	immediately preceding
1回目	1st
1次元	one-dimensional
1次光	first-order light
1次巻き線	primary winding
1次架橋	primary cross-linking
1画素ずつ	one pixel at a time
1行目	1st row
1軸のヒンジ	single-axis hinge
29条1項3号	article 29 paragraph 1 item 3
29条但し書き	proviso article 29
29条柱書き	body of article 29
2D再生用のプレイリスト	playlist for 2D reproduction
2ショット画像	couple image
2値	binary
2値データ	binary data
2値化	binarization
2値化の	binarized
2値化処理	binarization processing
2値化基準値	binarized reference value
2分割構造の底蓋	a lower lid having a two-segment structure
2回目	2nd
2次	secondary
2次元	2-dimensional
2次光	second-order light
2次巻き線	secndary winding
2次架橋	secondary cross-linking
2線式電磁流量計	two-wire electromagnetic flowmeter
2行目	2nd row
3次元	3-dimensional
3行目	3rd row
4分割	quadripartite
A/Dコンバータ	A/D converter
Ack応答	Ack response
Aさん	person A
CANメッセージ	CAN message
D/Aコンバータ	D/A converter
DC-DCコンバータ	DC-DC converter
DCオフセット	DC offset
Eu賦活βサイアロン	Eu-activated β-sialon
E字状	E-shape
FHDデータ	FHD data
FHDデータ記憶用メモリセル群	FHD data storage memory cell group
H2基	H2 group
I/F	interface
ICカード	IC card
IC間サウンド	Inter-IC Sound
IDデータ	ID data
ID閾値レジスタ	ID threshold value register
I軸信号	I-axis signal
LDバック光	LD back light
LDフロント光	LD front light
LLR列	LLR sequence
mm角	mm square
m四方	metres square
M系列符号	M-sequence code
NAS	network access server
Oリング	O-ring
PCT経由出願	application filed via the PCT route
PLMN	public land mobile network
PN接合	P-N junction
PUFデータ	PUF data
PUF技術	PUF technology
Q軸信号	Q-axis signal
R面取りされている	round-chamfered
T/M	transmission
UA	user agent
view間の予測	inter-view prediction
Ω/□	ohms per square ("Ω/□" is okay in English)
あくまで	merely
あくまでも	merely
あたりの	per
あらかじめ	in advance
あらかじめ定義	predefined
あらかじめ設定	preset
あらゆる	all
あらゆる	every
あるいは	alternatively
あるいはまた	alternatively
ある程度	to an extent
いう	refers to
いかなる	any
いかなる	which kind of
いくつか	a few
いくつか	several
いったん	temporarily
いわば	so to speak
いわゆる	so to speak
いわゆる	so-called
いわゆる	what is known as
いわゆる	what is referred to as
うち	from among
うち	from within
うつ伏せ	face down
